filename,marker,mpp_um_per_px,counterstain_grade,n_nuclei_detected,n_positive,positive_density_per_mm2,percent_positive,percent_reportable,n_enclosed_cells,mean_membrane_completeness,median_cell_area_um2,note
ki672001hhnsallod0rnsd01l_viewcapture9.png,Ki67,0.4717,adequate,2025.0,496.0,1549.5404746954569,24.49382716049383,True,,,,
ki67200_viewcapture42.png,Ki67,2.1505,adequate,1039.0,33.0,4.960072754592986,3.1761308950914344,True,,,,
ki67200_viewcapture43.png,Ki67,0.6838,adequate,9312.0,3833.0,5698.1467127812175,41.161941580756015,True,,,,
ki67200humantonsil 200 1h_viewcapture17.png,Ki67,1.0417,adequate,10248.0,133.0,85.19602127682344,1.2978142076502732,True,,,,
ki67200humantonsil 200 1h_viewcapture19.png,Ki67,1.0417,adequate,13054.0,108.0,69.18173156313482,0.8273326183545273,True,,,,
ki67300_viewcapture43.png,Ki67,0.5983,adequate,6083.0,347.0,673.8208881625151,5.704422160118363,True,,,,
ki67300_viewcapture44.png,Ki67,2.0202,adequate,113.0,3.0,0.5109583748850152,2.6548672566371683,True,,,,
ki67300_viewcapture45.png,Ki67,0.9434,adequate,9263.0,792.0,618.5665604631057,8.550145741120588,True,,,,
ki67ratd21_viewcapture28.png,Ki67,0.9434,adequate,8716.0,1285.0,1003.6086239837006,14.74300137677834,True,,,,
ki67ratd21_viewcapture29.png,Ki67,0.5217,adequate,4129.0,794.0,2027.831334916983,19.22983773310729,True,,,,
ki67ratd21_viewcapture30.png,Ki67,0.6897,adequate,6825.0,1035.0,1512.4216950545897,15.164835164835164,True,,,,
ki67ratd21_viewcapture31.png,Ki67,0.625,adequate,4406.0,388.0,690.4380091240026,8.806173399909214,True,,,,
ki67ratd21_viewcapture32.png,Ki67,0.5217,adequate,2943.0,255.0,651.2556554204416,8.664627930682975,True,,,,
ki67ratd21_viewcapture33.png,Ki67,1.5625,adequate,6684.0,376.0,107.0534810023196,5.6253740275284265,True,,,,
ki67ratd21_viewcapture34.png,Ki67,1.0101,adequate,5745.0,464.0,316.1129145955294,8.076588337684944,True,,,,
ki67ratd21_viewcapture35.png,Ki67,0.5217,adequate,2351.0,275.0,702.3345303553782,11.69715014887282,True,,,,
_20250227155408_viewcapture30.png,PR,1.9417,absent,69.0,29.0,5.494376548581756,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227155408_viewcapture31.png,PR,1.0989,absent,252.0,115.0,68.02462819502978,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227155408_viewcapture32.png,PR,0.4237,absent,278.0,143.0,568.9888979821516,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227155408_viewcapture33.png,PR,0.4505,absent,302.0,174.0,612.412914929791,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227155408_viewcapture35.png,PR,0.2857,absent,92.0,45.0,393.8009106942779,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227155408_viewcapture36.png,PR,0.3361,absent,86.0,50.0,316.1678183833871,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227155408_viewcapture37.png,PR,0.3509,absent,163.0,100.0,580.1201448002239,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227155408_viewcapture38.png,PR,0.7339,absent,284.0,148.0,196.2784515387732,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227155408_viewcapture39.png,PR,0.3704,absent,231.0,114.0,593.5367009709927,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227155408_viewcapture40.png,PR,0.3448,absent,193.0,120.0,720.9936086547586,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163701_viewcapture22.png,PR,0.7692,absent,378.0,194.0,227.9167164530332,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163701_viewcapture23.png,PR,0.3333,absent,169.0,67.0,419.2346557036919,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163701_viewcapture24.png,PR,0.1974,absent,18.0,5.0,89.1925762575615,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163701_viewcapture25.png,PR,0.4386,absent,51.0,20.0,72.26795104204622,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250227163701_viewcapture26.png,PR,0.4167,absent,50.0,20.0,80.06376250873515,,False,,,,"counterstain absent: no denominator, percent withheld"
